"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Justice","Agency Overall","2024","Fed. R. Crim. P. 32","DOJ v. Julian, 486 U.S. 1, 9 (1988).","Presentence reports and recommendations","1"
"Department of Justice","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","NA","Financial disclosure reports and applications to inspect financial disclosure reports","3"
"Department of Justice","Agency Overall","2024","5. U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","1"
"Department of Justice","Agency Overall","2024","6 U.S.C. § 1504(d)(3)(B)","N/A","A cyber threat indicator or defensive measure shared with the Federal Government under the Cybersecurity Information Sharing Act of 2015","4"
"Department of Justice","Agency Overall","2024","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).","Providing that “a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,” but exempting from this disclosure requirement “any information contained in the determination that would be exempt from disclosure under section 552 of title 5”","2"
"Department of Justice","Agency Overall","2024","21 U.S.C. §§ 1903-1905","N/A","All records generated or obtained in the implementation of the King Pin Act","1"
"Department of Justice","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","N/A","Certain records that would reveal some secret aspect pertaining to grand jury proceedings.","1"
"Department of Justice","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, §2, 91 Stat. 319","N/A","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Department of Justice","Agency Overall","2024","Pub. L. No. 112-55,125 Stat. 552,609-10","City of Chi. v. U.S. Dep’t of the Treasury,423 F.3d 777,781-82 (7th Cir. 2005); P.W. Arms,Inc. v. United States,No. 15-1990-JCC,2017 WL 319250,at *4 (W.D. Wash. Jan. 23,2017); Williams v. ATF,No. PWG-15-1969,2017 WL 3978580,at *5-6 (D. Md. Sept. 8,2017); Abdeljabbar v. ATF,74 F. Supp. 3d 158,173 (D.D.C. 2014).","Certain firearms database information","6"
"Department of Justice","Agency Overall","2024","Treaty Between the United States of America and the Federal Republic of Germany on Mutual Legal Assistance in Criminal Matters, U.S.-F.R.G., Oct. 14, 2003, S. TREATY DOC. NO. 108-27 (2004)","N/A","Evidence obtained by way of a treaty with a confidentiality clause.","1"
