"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Homeland Security","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return
information, to include
Taxpayer Identification
Numbers of third parties,
and certain tax convention
information","12"
"Department of Homeland Security","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No.03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep’t of the Interior, 238 F. Supp. 2d 1188, 1192-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","1"
"Department of Homeland Security","Agency Overall","2024","6 U.S.C. § 673(a)(1) (formerly at 6 U.S.C. § 133(a)(1)) ","N/A","Protection of voluntarily shared critical infrastructure information","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","N/A","N/A","N/A","0"
"United States International Trade Commission","Agency Overall","2024","19 U.S.C. § 1677f","Mudge Rose Guthrie Alexander & Ferdon v. U.S. Int’l Trade Comm’n, 846 F.2d 1527, 1530-31 (D.C. Cir. 1988).","Certain ""information submitted to the administering authority or the [United States International Trade] Commission which is designated as proprietary by the person submitting the information""","3"
"United States International Trade Commission","Agency Overall","2024","41 U.S.C. § 4702","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F.
Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"United States International Trade Commission","Agency Overall","2024","19 U.S.C. § 1333(h)","N/A","Any correspondence, private letters of reprimand, and other documents and files relating to violations or possible violations of administrative protective orders issued by the Commission in connection with investigations or other proceedings ","1"
"Environmental Protection Agency","Agency Overall","2024","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).  ","Providing that ""a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public, but exempting from this disclosure requirement any information contained in the determination that would be exempt from disclosure under section 552 of title 5""","1"
"Environmental Protection Agency","Agency Overall","2024","42 U.S.C. § 7412(r)(7)(H)(iii)","N/A","Certain off-site consequence analysis information and any ranking of stationary sources derived from the information","2"
"Environmental Protection Agency","Agency Overall","2024","7 U.S.C. § 136i-1(b)","Doe v. Veneman, 380 F.3d 807, 818-19 (5th Cir. 2004).","""[D]ata, including the location from which the data was derived, that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","18"
"Environmental Protection Agency","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Environmental Protection Agency","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500
02 (9th Cir. 1992); Boyd v. Exec. Office 
for U.S. Attorneys, 161 F. Supp. 3d 1, 7 
(D.D.C.) 2015; Seife v. NIH, 874 F. Supp. 
2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","2"
"Environmental Protection Agency","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep't of the Interior, 
305 F. Supp. 2d 21, 30 (D.D.C. 2003), 
summary affirmance granted, No. 03
-5257, 2004 WL 1900562 (D.C. Cir. Aug. 2004); Starkey v. U.S. Dep't of the Interior, 238 F. Supp. 2d 1188, 1192-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","1"
"Environmental Protection Agency","Agency Overall","2024","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","2"
"Environmental Protection Agency","Agency Overall","2024","42 U.S.C. § 2167","Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material and certain safeguards information for nuclear material","2"
"Environmental Protection Agency","Agency Overall","2024","26 U.S.C. § 6103","Nosal v. IRS, 523 F. Supp. 3d 72, 79 
(D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include 
Taxpayer Identification Numbers of third parties, and certain tax convention information","5"
"Environmental Protection Agency","Agency Overall","2024","5 U.S.C. § 420 (b)(2)(B)","Sherven v. CIA, No. 23-03214, 2024 WL 519809 (D.D.C. Jan. 30, 2024).","The disclosure of the identity of any individual making a complaint of fraud, waste, or abuse to an Office of Inspector General","4"
"Marine Mammal Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Department of Labor","Agency Overall","2024","44 U.S.C. § 3501 note","N/A","Data or information acquired under a pledge of confidentiality for exclusively statistical purposes","1"
"Department of Labor","Agency Overall","2024","41 U.S.C. § 4702 (formerly at  41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency that have not been set forth or incorporated by reference into contracts","2"
"Department of Labor","Agency Overall","2024","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).","Providing that “a copy of any determination granting an  exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,” but exempting from this disclosure requirement “any information contained in the determination that would be exempt from disclosure under section 552 of title 5”","2"
"Department of Labor","Agency Overall","2024","19 U.S.C. § 2155(g)","Intell. Prop. Watch v. U.S. Trade Representative, 205 F. Supp. 3d 334m 345-46 (S.D.N.Y. 2016).","Certain information in connection with trade negotiations that is “submitted in confidence”","1"
"Department of Labor","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","“[C]onfidential dispute resolution communications”","1"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","NA","NA","NA","0"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 410(c)(1)","N/A","Records relating to names and addresses of postal customers ","434"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 410(c)(2)	","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05- 294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02-1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002).","Commercial information which would not be disclosed under good business practice
","342"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 410(c)(3)","N/A","Information prepared for use in the negotiation of collective bargaining agreements under 39 U.S.C. Chapter 12 and minutes or notes kept during the negotiating sessions","6"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 410(c)(5)","N/A","Reports and memoranda of consultants or independent contractors, except to the extent that they would be required to be disclosed if prepared within the Postal Service.","2"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 410(c)(6)","N/A","Investigatory files, whether or not considered closed, compiled for law enforcement purposes except to the extent available by law to a party other than the Postal Service","4"
"United States Postal Service","Agency Overall","2024","39 U.S.C. § 412	","N/A","Records containing lists of postal customers","11"
"United States Postal Service","Agency Overall","2024","18 U.S.C. Rule 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018; WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. 
McNeil, No. 12-00188, 2016 
WL 4394724, at *23 (D. Me. 
Aug 16, 2016); Durham v. U.S. 
Att’y Gen., No. 06-843, 2008 
WL 620744, at *2 (E.D. Tex. 
Mar. 3, 2008); Cozen O’Connor 
v. U.S. Dep’t of Treasury, 570 
F. Supp. 2d 749, 776 (E.D. Pa. 
2008). ","Certain records that would reveal some secret aspect pertaining to grand jury proceedings.","3"
"United States Postal Service","Agency Overall","2024","18 U.S.C. § 3509(d)","Corley v. DOJ, 998 F.3d 981, 982-85 (D.C. Cir. 2021).","Certain records containing identifying information pertaining to children involved in criminal proceedings.
","1"
"United States Postal Service","Agency Overall","2024","Pub L. No. 95-452 92 Stat. 1101","N/A","Identities of employees that have submitted complaints and or provided information during the course of an OIG investigation.","1"
"Occupational Safety and Health Review Commission","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Tennessee Valley Authority","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004). ","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Tennessee Valley Authority","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dept of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dept of the Interior, 238 F. Supp. 2d 1188, 1192-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","3"
"Farm Credit Administration","Agency Overall","2024","N/A","N/A","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1)) (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of theArmy, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal.May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","20"
"Office of Personnel Management","Agency Overall","2024","N/A","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2024","N/A","N/A","N/A","0"
"Legal Services Corporation","Agency Overall","2024","N/A","N/A","N/A","0"
"Inter-American Foundation","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Election Commission","Agency Overall","2024","52 U.S.C. § 30109(a)(12)(A) (formerly at 2 U.S.C. § 437(a)(12)(A))","Gov’t
Accountability
Project v. FDA,
206 F. Supp. 3d
420, 433 (D.D.C.
2016).","Any
notification or
investigation
made under
this section of
the Federal
Election
Campaign Act
pertaining to
federal
campaign funds","1"
"Denali Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","N/A","N/A","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2024","15 U.S.C. § 2074(c)","N/A","Information that identifies persons or those treating injured persons, absent consent","6"
"Consumer Product Safety Commission","Agency Overall","2024","15 U.S.C. §§ 2055(a)(2), 2055(b)(1), 2055(b)(5) ","Consumer Prod. Safety 
Comm’n v. GTE Sylvania, Inc., 
447 U.S. 102, 122-23 (1980) 
(15 U.S.C. § 2055(b)(1)); 
Mulloy v. Consumer Prods. 
Safety Comm’n, No. 85-3720, 
1986 WL 17283, at *1 (6th Cir. 
July 22, 1986) (per curiam) 
(unpublished disposition) (15 
U.S.C. § 2055(a)(2) and 15 
U.S.C. § 2055(b)(5)). ","Certain information 
reported to, or otherwise 
obtained by, the Consumer 
Product Safety 
Commission which either 
contains or relates to a 
trade secret or is “subject to 
section 552(b)(4) of Title 
5”","137"
"Presidio Trust","Agency Overall","2024","N/A","N/A","N/A","0"
"Postal Regulatory Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2024","8 U.S.C. § 1202(f) ","Medina-Hincapie v. Dep’t of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); De Laurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep’t of State, No. 12-1111, 2014 WL 4704840, at *6-7 (S.D.N.Y. Sept. 19, 2014); Badalamenti v. U.S. Dep’t of State, 899 F. Supp. 542, 547 (D. Kan. 1995).","Certain records pertaining to the issuance or refusal of visas to enter the United States ","6024"
"U.S. Department of State","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005). ","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1"
"U.S. Department of State","Agency Overall","2024","10 U.S.C. § 130c","ACLU v. DOD, 389 F. Supp. 2d 547, 553-54 (S.D.N.Y. 2005); Nat’l Inst. of Mil. Just. v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff’d on other grounds, 512 F.3d 677 (D.C. Cir. 2008); Gerstein v.  DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec.  21, 2004).","Certain “sensitive information of foreign governments” and certain international organizations","2"
"U.S. Department of State","Agency Overall","2024","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004). ","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","4"
"U.S. Department of State","Agency Overall","2024","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dep’t of State, 1998 U.S. Dist. LEXIS 23642, at *11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","4"
"U.S. Department of State","Agency Overall","2024","50 U.S.C. § 3507  (formerly at 50 U.S.C. § 403g)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff’d on other grounds, 541 F. 3d 205 (3d Cir. 2008). ","Intelligence sources and methods; certain information pertaining to Agency functions or employees, specifically: “the organization or functions of the Agency, or of the names, official titles, salaries, or numbers of personnel employed by the Agency”","6"
"U.S. Department of State","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b)) ","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","1"
"U.S. Department of State","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985)","Intelligence sources and methods","4"
"Federal Housing Finance Agency","Agency Overall","2024","N/A","N/A","N/A","0"
"Small Business Administration","Agency Overall","2024","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).","Providing that “a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,” but exempting from this disclosure requirement “any information contained in the determination that would be exempt from disclosure under section 552 of title 5”","1"
"Small Business Administration","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of Government Ethics","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","5 U.S.C. § 13109(a)(2)  (formerly at 5 U.S.C. app. 4 §  107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 
1498, 1500-02 (9th Cir. 1992); 
Boyd v. Exec. Off. for U.S. 
Att’ys, 161 F. Supp. 3d 1, 7 
(D.D.C. 2015); Seife v. NIH, 
874 F. Supp. 2d 248, 254 
(S.D.N.Y. 2012). ","Confidential financial disclosure report pertaining to certain government employees.","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020). ","Names of employees who provide information or complaints to the Inspector General.","1"
"National Transportation Safety Board","Agency Overall","2024","49 U.S.C. § 1114(c)","McGilvra v. NTSB, 840 F. Supp. 100, 102 (D. Colo. 1993).  ","Certain ""cockpit voice or video recorder recording[s] or transcript[s] of communications by and between flight crew members and ground stations pertaining to [] incident[s] investigated by the [National Transportation Safety] Board""","7"
"National Transportation Safety Board","Agency Overall","2024","49 U.S.C. § 1114(d)(1)","N/A","Certain surface vehicle recordings and transcripts related to an accident investigated by the Board","4"
"National Transportation Safety Board","Agency Overall","2024","5 U.S.C. § 13109(a)(2)  (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Attys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Department of Veterans Affairs","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dept of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03- 5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession of control of an executive agency and that have not been set forth or incorporated by reference into contracts","22"
"Department of Veterans Affairs","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dept of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","16"
"Department of Veterans Affairs","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’t of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","9"
"Department of Veterans Affairs","Agency Overall","2024","38 U.S.C. § 5701","Ashton v. VA, No. 99-6018, 1999 WL 753331, at *1 (2d Cir. Sept. 3, 1999) (unpublished disposition).","""All files, records, reports, and other papers and documents pertaining to any claim under any of the laws administered by the Secretary and the names and addresses of present or former members of the Armed Forces, and their dependents, in the possession of [VA]""","3277"
"Department of Veterans Affairs","Agency Overall","2024","38 U.S.C. § 7332","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)","Records of patients being treated for certain conditions","1187"
"Department of Veterans Affairs","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post. Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names or employees who provide information or complaints to the Inspector General.","4"
"Department of Veterans Affairs","Agency Overall","2024","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government.","1"
"Department of Veterans Affairs","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A        ","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Department of Veterans Affairs","Agency Overall","2024","38 U.S.C. § 5705","Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996)","Records created by VA as part of its medical quality-assurance program; certain other information pertaining to VA's medical quality-assurance program","63"
"Department of Veterans Affairs","Agency Overall","2024","35 U.S.C. § 205","N/A        ","Information relating to government invention information","1"
"Department of Veterans Affairs","Agency Overall","2024","38 U.S.C. § 7451","N/A","Information collected in VA nurse and other health-care personnel wage surveys.","4"
"Department of Veterans Affairs","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1"
"Department of Veterans Affairs","Agency Overall","2024","5 U.S.C. § 407","N/A","Names of employees who provide information or complaints to the Inspector General","4"
"Department of Veterans Affairs","Agency Overall","2024","28 U.S.C. § 652(d)","N/A","""[C]onfidential dispute resolution communications""","1"
"United States Institute of Peace","Agency Overall","2024","N/A","N/A","N/A","0"
"National Mediation Board","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports ","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","N/A","N/A","N/A","0"
"National Archives and Records Administration","Agency Overall","2024","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","1"
"National Archives and Records Administration","Agency Overall","2024","8 U.S.C. § 1202(f)","Medina-Hincapie v. Dep’t of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); De Laurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6-7 (S.D.N.Y. Sept. 19, 2014); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"National Archives and Records Administration","Agency Overall","2024","10 U.S.C. § 130(a)","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 168 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","2"
"National Archives and Records Administration","Agency Overall","2024","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to “any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit” and “any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit”","1"
"National Archives and Records Administration","Agency Overall","2024","10 U.S.C. § 424","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","2"
"National Archives and Records Administration","Agency Overall","2024","10 U.S.C. § 455(b)","N/A","Maps, charts, and geodetic data","1"
"National Archives and Records Administration","Agency Overall","2024","18 U.S.C. §§ 2510, et seq.","Payne v. DOJ, No. 96-30840, 1997 WL 450139, at *3 (5th Cir. July 11, 1997); Lam Lek Chong v. DEA, 929 F.2d 729, 732 -33 (D.C. Cir. 1991).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","5"
