"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Tennessee Valley Authority","Agency Overall","2024","0","0","0","2","7","5","0","0","1","0","1","1","0","0"
"Farm Credit Administration","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2024","0","1","0","2","2","7","1","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2024","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2024","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2024","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2024","0","0","1","0","2","0","7","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2024","5","1","267","0","155","172","1","0","149","0","146","1","0","0"
"Federal Housing Finance Agency","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2024","0","2","0","5","6","7","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2024","0","0","1","1","2","3","1","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2024","0","0","8","0","8","25","4","0","6","2","6","0","0","0"
"United States Institute of Peace","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2024","0","0","0","2","9","15","5","0","11","1","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2024","0","0","3","3","1","5","0","0","1","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Office of Management and Budget","Agency Overall","2024","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2024","104","1","109","0","6","18","0","0","1","0","1","0","0","0"
"Merit Systems Protection Board","Agency Overall","2024","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
