"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Aeronautics and Space Administration","Agency Overall","2024","0","9","36","102","76","223","5","0","35","0","15","4","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2024","0","1","1","26","21","24","4","0","5","0","4","1","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","4","0","5","0","7","6","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","0","0","0","1","1","6","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","0","0","0","1","1","9","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2024","0","1","0","0","5","8","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2024","0","0","0","0","50","65","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2024","830","0","845","0","17","53","0","0","5","5","4","0","0","0"
"Merit Systems Protection Board","Agency Overall","2024","0","0","1","0","5","43","0","0","0","0","1","0","0","0"
"Council on Environmental Quality","Agency Overall","2024","0","1","1","0","15","18","1","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2024","0","0","5","17","33","51","16","0","12","0","12","0","3","0"
"National Indian Gaming Commission","Agency Overall","2024","0","2","1","5","3","5","1","0","4","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2024","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2024","4","0","8","14","32","59","0","0","0","0","1","0","0","0"
"Social Security Administration","Agency Overall","2024","0","8","5","3","6","4016","1","0","14","0","4","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","0","0","1","13","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2024","0","1","12","212","69","325","7","0","37","2","9","69","0","0"
"Department of the Interior","Agency Overall","2024","0","20","87","250","631","1248","143","3","445","18","54","39","0","16"
"Peace Corps","Agency Overall","2024","0","5","1","7","32","72","1","0","20","5","3","0","0","0"
"Department of Agriculture","Agency Overall","2024","0","140","387","623","555","2208","78","3","658","123","103","50","0","2"
"U.S. Agency for Global Media","Agency Overall","2024","0","0","3","9","18","58","1","0","2","0","0","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0","0","0","7","9","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0","18","1","0","5","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","0","2","7","7","18","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","0","0","0","3","4","22","0","0","11","0","0","0","0","0"
"All agencies","Agency Overall","2024","3016","2150","86173","10770","86802","474605","11244","511","486454","6380","348702","3081","221","117"
