Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
Commission of Fine Arts,Agency Overall,2019,0,0.0
National Railroad Passenger Corporation,Agency Overall,2019,83,7.0
Office of Science and Technology Policy,Agency Overall,2019,86,2.0
Denali Commission,Agency Overall,2019,0,0.0
United States Copyright Office,Agency Overall,2019,8,1.0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2019,12,0.0
National Transportation Safety Board,Agency Overall,2019,418,0.0
Selective Service System,Agency Overall,2019,0,0.0
Office of Government Ethics,Agency Overall,2019,28,0.0
Export-Import Bank of the U.S.,Agency Overall,2019,31,0.0
Armed Forces Retirement Home,Agency Overall,2019,0,0.0
Department of Housing and Urban Development,Agency Overall,2019,932,15.0
Administrative Conference of the United States,Agency Overall,2019,0,0.0
AmeriCorps,Agency Overall,2019,3,0.0
Federal Deposit Insurance Corporation,Agency Overall,2019,1,0.0
Central Intelligence Agency,Agency Overall,2019,2384,237.0
Small Business Administration,Agency Overall,2019,0,2.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,32,0.0
National Labor Relations Board,Agency Overall,2019,35,0.0
National Credit Union Administration,Agency Overall,2019,1,0.0
Department of Health and Human Services,Agency Overall,2019,7764,514.0
Department of Veterans Affairs,Agency Overall,2019,2631,118.0
Department of Transportation,Agency Overall,2019,3578,100.0
National Council on Disability,Agency Overall,2019,0,0.0
U.S. Railroad Retirement Board,Agency Overall,2019,2,0.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,0,0.0
Millennium Challenge Corporation,Agency Overall,2019,2,0.0
Legal Services Corporation,Agency Overall,2019,0,0.0
U.S. Agency for Global Media,Agency Overall,2019,13,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2019,3,0.0
Marine Mammal Commission,Agency Overall,2019,1,0.0
National Capital Planning Commission,Agency Overall,2019,0,0.0
Postal Regulatory Commission,Agency Overall,2019,0,0.0
Federal Labor Relations Authority,Agency Overall,2020,0,0.0
Federal Open Market Committee,Agency Overall,2020,0,0.0
General Services Administration,Agency Overall,2020,355,11.0
Department of Agriculture,Agency Overall,2020,2546,814.0
Pension Benefit Guaranty Corporation,Agency Overall,2020,0,0.0
Federal Energy Regulatory Commission,Agency Overall,2020,21,0.0
Commodity Futures Trading Commission,Agency Overall,2020,6,0.0
Armed Forces Retirement Home,Agency Overall,2020,0,0.0
Presidio Trust,Agency Overall,2020,0,0.0
Federal Reserve System,Agency Overall,2020,17,4.0
Consumer Financial Protection Bureau,Agency Overall,2020,124,0.0
Tennessee Valley Authority,Agency Overall,2020,17,0.0
Federal Financial Institutions Examination Council,Agency Overall,2020,0,0.0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2020,0,0.0
Consumer Product Safety Commission,Agency Overall,2020,407,0.0
Nuclear Regulatory Commission,Agency Overall,2020,81,3.0
Inter-American Foundation,Agency Overall,2020,0,0.0
United States International Boundary and Water Commission,Agency Overall,2020,28,0.0
Legal Services Corporation,Agency Overall,2020,0,0.0
National Security Commission on Artificial Intelligence,Agency Overall,2020,2,0.0
Department of Justice,Agency Overall,2020,29933,443.0
Office of Special Counsel,Agency Overall,2020,14,0.0
Federal Maritime Commission,Agency Overall,2020,0,0.0
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2020,2,0.0
Securities and Exchange Commission,Agency Overall,2020,183,0.0
Department of Transportation,Agency Overall,2020,4272,126.0
Department of the Interior,Agency Overall,2020,4267,404.0
United States International Trade Commission,Agency Overall,2020,0,0.0
Department of Homeland Security,Agency Overall,2020,36350,354.0
Federal Retirement Thrift Investment Board,Agency Overall,2020,1,1.0
Denali Commission,Agency Overall,2020,0,0.0
National Indian Gaming Commission,Agency Overall,2020,1,0.0
National Railroad Passenger Corporation,Agency Overall,2020,57,11.0
National Archives and Records Administration,Agency Overall,2020,3511,99.0
Department of Education,Agency Overall,2020,859,55.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2020,0,0.0
Neighborhood Reinvestment Corporation,Agency Overall,2020,0,0.0
National Capital Planning Commission,Agency Overall,2020,0,0.0
National Labor Relations Board,Agency Overall,2020,3,0.0
Department of the Treasury,Agency Overall,2020,2123,49.0
U.S. Railroad Retirement Board,Agency Overall,2020,1,0.0
Commission of Fine Arts,Agency Overall,2020,0,0.0
U.S. Commission on Civil Rights,Agency Overall,2020,0,0.0
United States Access Board,Agency Overall,2020,1,0.0
Office of the United States Trade Representative,Agency Overall,2020,2,0.0
Occupational Safety and Health Review Commission,Agency Overall,2020,2,0.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2020,23,1.0
Office of the Director of National Intelligence,Agency Overall,2020,696,4.0
Federal Communications Commission,Agency Overall,2020,21,10.0
AmeriCorps,Agency Overall,2020,1,0.0
Department of Commerce,Agency Overall,2020,629,79.0
Office of National Drug Control Policy,Agency Overall,2020,25,0.0
National Credit Union Administration,Agency Overall,2020,1,0.0
United States Copyright Office,Agency Overall,2020,3,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2020,73,1.0
Federal Mine Safety and Health Review Commission,Agency Overall,2020,0,0.0
