Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Securities and Exchange Commission,Agency Overall,2019,32,10.0,42.0
Appraisal Subcommittee,Agency Overall,2019,0,0.05,0.05
Office of the United States Trade Representative,Agency Overall,2019,0,1.7,1.7
United States International Boundary and Water Commission,Agency Overall,2019,0,1.0,1.0
Harry S. Truman Scholarship Foundation,Agency Overall,2019,0,0.25,0.25
Federal Trade Commission,Agency Overall,2019,9,2.7,11.7
National Science Foundation,Agency Overall,2019,1,1.5,2.5
Overseas Private Investment Corporation,Agency Overall,2019,1,0.75,1.75
U.S. Nuclear Waste Technical Review Board,Agency Overall,2019,0,1.0,1.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2019,0,1.0,1.0
United States African Development Foundation,Agency Overall,2019,0,0.06,0.06
Federal Labor Relations Authority,Agency Overall,2019,0,0.33,0.33
Equal Employment Opportunity Commission,Agency Overall,2019,37,14.23,51.23
Office of Personnel Management,Agency Overall,2019,6,14.49,20.49
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2019,1,0.0,1.0
Institute of Museum and Library Services,Agency Overall,2019,0,0.25,0.25
United States Institute of Peace,Agency Overall,2019,0,0.5,0.5
National Indian Gaming Commission,Agency Overall,2019,0,1.0,1.0
Federal Election Commission,Agency Overall,2019,1,1.28,2.28
Commission of Fine Arts,Agency Overall,2019,1,0.0,1.0
National Railroad Passenger Corporation,Agency Overall,2019,1,0.0,1.0
Office of Science and Technology Policy,Agency Overall,2019,0,2.8,2.8
Denali Commission,Agency Overall,2019,0,0.1,0.1
United States Copyright Office,Agency Overall,2019,0,0.17,0.17
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2019,0,0.25,0.25
National Transportation Safety Board,Agency Overall,2019,5,3.0,8.0
Selective Service System,Agency Overall,2019,0,0.15,0.15
Office of Government Ethics,Agency Overall,2019,0,2.4,2.4
Export-Import Bank of the U.S.,Agency Overall,2019,3,0.5,3.5
Armed Forces Retirement Home,Agency Overall,2019,0,1.0,1.0
Department of Housing and Urban Development,Agency Overall,2019,29,49.0,78.0
Administrative Conference of the United States,Agency Overall,2019,0,0.05,0.05
AmeriCorps,Agency Overall,2019,0,0.43,0.43
Federal Deposit Insurance Corporation,Agency Overall,2019,6,5.0,11.0
Central Intelligence Agency,Agency Overall,2019,47,27.0,74.0
Small Business Administration,Agency Overall,2019,3,0.0,3.0
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,0,0.28,0.28
National Labor Relations Board,Agency Overall,2019,16,2.0,18.0
National Credit Union Administration,Agency Overall,2019,0,2.23,2.23
Department of Health and Human Services,Agency Overall,2019,244,99.75,343.75
Department of Veterans Affairs,Agency Overall,2019,47,172.35,219.35
Department of Transportation,Agency Overall,2019,39,234.98,273.98
National Council on Disability,Agency Overall,2019,0,0.1,0.1
U.S. Railroad Retirement Board,Agency Overall,2019,0,3.0,3.0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,0,0.5,0.5
Millennium Challenge Corporation,Agency Overall,2019,1,2.5,3.5
Legal Services Corporation,Agency Overall,2019,0,0.6,0.6
U.S. Agency for Global Media,Agency Overall,2019,0,1.2,1.2
Neighborhood Reinvestment Corporation,Agency Overall,2019,0,0.75,0.75
