Agency,Component,Fiscal Year,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Merit Systems Protection Board,Agency Overall,2020,52,127,124,55
United States Institute of Peace,Agency Overall,2020,0,8,4,4
Social Security Advisory Board,Agency Overall,2020,0,5,4,1
Council on Environmental Quality,Agency Overall,2020,42,166,140,68
Administrative Conference of the United States,Agency Overall,2020,0,38,38,0
Office of Science and Technology Policy,Agency Overall,2020,86,84,68,102
U.S. Election Assistance Commission,Agency Overall,2020,11,49,21,39
Millennium Challenge Corporation,Agency Overall,2020,1,19,19,1
American Battle Monuments Commission,Agency Overall,2020,1,14,15,0
Federal Election Commission,Agency Overall,2020,61,105,148,18
Department of Health and Human Services,Agency Overall,2020,9397,36825,35669,10553
Central Intelligence Agency,Agency Overall,2020,2628,2896,2622,2902
Selective Service System,Agency Overall,2020,0,48,48,0
Defense Nuclear Facilities Safety Board,Agency Overall,2020,2,20,22,0
U.S. Interagency Council on Homelessness,Agency Overall,2020,0,15,15,0
Federal Trade Commission,Agency Overall,2020,64,1177,1208,33
United States African Development Foundation,Agency Overall,2020,1,4,4,1
U.S. Nuclear Waste Technical Review Board,Agency Overall,2020,0,7,6,1
Department of Energy,Agency Overall,2020,639,1453,1416,676
Department of Housing and Urban Development,Agency Overall,2020,1177,2038,1834,1381
U.S. Agency for International Development,Agency Overall,2020,271,427,299,399
Department of Veterans Affairs,Agency Overall,2020,4476,19053,19323,4206
U.S. Department of State,Agency Overall,2020,12866,9019,7041,14844
Court Services and Offender Supervision Agency,Agency Overall,2020,0,207,207,0
Institute of Museum and Library Services,Agency Overall,2020,5,39,42,2
National Endowment for the Arts,Agency Overall,2020,1,39,39,1
Equal Employment Opportunity Commission,Agency Overall,2020,746,16287,15098,1935
Export-Import Bank of the U.S.,Agency Overall,2020,38,79,96,21
Office of Personnel Management,Agency Overall,2020,259,8123,8140,242
Department of Labor,Agency Overall,2020,2414,15820,15645,2589
Federal Mediation and Conciliation Service,Agency Overall,2020,0,58,56,2
Federal Deposit Insurance Corporation,Agency Overall,2020,18,371,360,29
National Aeronautics and Space Administration,Agency Overall,2020,76,841,833,84
Advisory Council on Historic Preservation,Agency Overall,2020,8,12,19,1
Postal Regulatory Commission,Agency Overall,2020,0,37,36,1
James Madison Memorial Fellowship Foundation,Agency Overall,2020,0,1,1,0
Peace Corps,Agency Overall,2020,134,160,207,87
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2020,0,27,26,1
Harry S. Truman Scholarship Foundation,Agency Overall,2020,0,4,4,0
Department of Defense,Agency Overall,2020,18396,54023,50006,22413
Environmental Protection Agency,Agency Overall,2020,3095,6891,7665,2321
Federal Housing Finance Agency,Agency Overall,2020,33,120,116,37
National Council on Disability,Agency Overall,2020,1,15,16,0
Privacy and Civil Liberties Oversight Board,Agency Overall,2020,13,29,27,15
U.S. Agency for Global Media,Agency Overall,2020,14,60,28,46
Farm Credit System Insurance Corporation,Agency Overall,2020,0,11,11,0
National Endowment for the Humanities,Agency Overall,2020,1,137,131,7
National Council on Disability,Agency Overall,2021,0,13,13,0
United States Copyright Office,Agency Overall,2021,5,49,47,7
Federal Financial Institutions Examination Council,Agency Overall,2021,0,13,12,1
National Credit Union Administration,Agency Overall,2021,17,136,144,9
