Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Surface Transportation Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institute of Museum and Library Services,Agency Overall,2018,0,0,1,0,1,1,0,1,0,0,1,0,0,5
Tennessee Valley Authority,Agency Overall,2018,0,35,18,14,10,0,3,1,1,2,1,0,0,85
Council on Environmental Quality,Agency Overall,2018,7,7,6,1,3,3,2,1,1,0,3,0,1,35
Department of Transportation,Agency Overall,2018,518,588,216,145,102,72,55,61,51,48,423,362,358,2999
National Endowment for the Arts,Agency Overall,2018,1,5,0,0,0,0,0,0,0,0,1,0,0,7
Federal Open Market Committee,Agency Overall,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Consumer Product Safety Commission,Agency Overall,2018,57,70,43,22,25,13,16,8,9,9,31,15,15,333
Department of Defense,Agency Overall,2018,8579,3979,1521,963,669,538,414,319,262,180,862,427,1589,20302
Millennium Challenge Corporation,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Battle Monuments Commission,Agency Overall,2018,12,2,1,0,0,0,0,1,0,0,0,0,0,16
Social Security Advisory Board,Agency Overall,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Election Commission,Agency Overall,2018,6,7,10,0,0,0,0,0,0,0,1,1,11,36
Federal Financial Institutions Examination Council,Agency Overall,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Surface Transportation Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commodity Futures Trading Commission,Agency Overall,2019,6,8,2,5,0,1,0,0,1,1,4,4,2,34
Social Security Advisory Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Retirement Thrift Investment Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Management and Budget,Agency Overall,2019,0,2,1,4,0,1,2,1,0,3,4,20,109,147
Environmental Protection Agency,Agency Overall,2019,460,570,338,164,104,63,56,41,25,36,114,106,173,2250
Federal Housing Finance Agency,Agency Overall,2019,12,6,0,4,2,5,1,0,1,0,1,1,0,33
Consumer Product Safety Commission,Agency Overall,2019,33,13,14,12,9,11,9,4,7,7,39,25,32,215
U.S. Interagency Council on Homelessness,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of National Drug Control Policy,Agency Overall,2019,0,6,1,5,1,2,0,1,0,0,3,3,1,23
Farm Credit System Insurance Corporation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Arts,Agency Overall,2019,1,4,0,1,0,0,0,0,0,0,0,0,0,6
National Mediation Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for International Development,Agency Overall,2019,47,19,15,14,16,17,15,6,6,6,25,13,93,292
U.S. Election Assistance Commission,Agency Overall,2019,0,3,1,0,3,1,0,0,0,0,0,0,0,8
Occupational Safety and Health Review Commission,Agency Overall,2019,0,2,0,0,0,1,0,0,0,0,0,0,0,3
United States International Trade Commission,Agency Overall,2019,0,5,1,0,1,0,0,0,0,0,0,0,0,7
Social Security Administration,Agency Overall,2019,80,87,52,41,30,16,12,12,9,8,38,18,10,413
Department of Labor,Agency Overall,2019,7099,1798,632,327,183,128,77,75,65,26,144,53,251,10858
Federal Mine Safety and Health Review Commission,Agency Overall,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Department of Defense,Agency Overall,2019,8557,4457,1697,1138,751,596,420,406,282,250,960,544,1898,21956
Department of Justice,Agency Overall,2019,3003,2138,1127,818,563,581,491,447,334,335,1302,1113,3011,15263
Office of the Director of National Intelligence,Agency Overall,2019,91,28,10,11,3,17,18,5,3,1,21,13,38,259
Court Services and Offender Supervision Agency,Agency Overall,2019,131,3,1,2,0,0,0,0,0,0,0,0,0,137
Department of the Treasury,Agency Overall,2019,3498,1439,691,335,180,110,89,49,40,39,145,92,327,7034
U.S. Commission on Civil Rights,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Postal Service,Agency Overall,2019,86,61,21,9,9,8,18,8,0,1,4,1,4,230
Department of the Interior,Agency Overall,2019,2434,854,420,259,203,136,139,113,92,68,302,183,240,5443
American Battle Monuments Commission,Agency Overall,2019,12,0,0,0,0,0,0,0,0,0,0,0,0,12
National Aeronautics and Space Administration,Agency Overall,2019,174,109,47,30,13,17,6,7,3,2,3,0,0,411
Office of Special Counsel,Agency Overall,2019,5,5,4,2,2,1,3,9,3,2,12,6,37,91
Federal Maritime Commission,Agency Overall,2019,10,4,5,1,0,0,0,0,0,0,0,0,0,20
Privacy and Civil Liberties Oversight Board,Agency Overall,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Department of Agriculture,Agency Overall,2019,481,229,121,86,76,59,33,40,33,32,148,94,228,1660
Farm Credit Administration,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Department of State,Agency Overall,2019,11,33,64,237,543,254,96,59,59,84,238,69,438,2185
Pension Benefit Guaranty Corporation,Agency Overall,2019,404,325,167,88,29,11,6,4,1,2,19,0,0,1056
Council on Environmental Quality,Agency Overall,2019,5,2,4,2,3,0,3,0,1,0,6,2,5,33
Peace Corps,Agency Overall,2019,0,1,0,0,0,0,1,1,0,1,4,0,2,10
General Services Administration,Agency Overall,2019,10,217,117,106,41,27,16,22,11,10,48,40,19,684
Merit Systems Protection Board,Agency Overall,2019,5,6,1,0,1,1,0,1,0,2,0,0,13,30
Federal Communications Commission,Agency Overall,2019,4,41,43,16,7,6,3,0,0,2,4,1,1,128
Tennessee Valley Authority,Agency Overall,2019,0,43,14,6,1,3,1,0,1,1,4,1,1,76
Nuclear Regulatory Commission,Agency Overall,2019,17,9,3,10,2,3,4,3,2,3,11,4,8,79
Federal Energy Regulatory Commission,Agency Overall,2019,17,26,10,2,1,1,1,1,0,3,8,3,2,75
National Archives and Records Administration,Agency Overall,2019,51,22,6,9,13,5,3,5,6,2,24,20,413,579
Gulf Coast Ecosystem Restoration Council,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,Agency Overall,2019,13,176,139,85,68,50,48,35,37,30,138,70,134,1023
Department of Energy,Agency Overall,2019,95,73,30,21,23,14,16,7,9,6,23,14,37,368
"National Commission on Military, National, and Public Service",Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Access Board,Agency Overall,2019,20,1,0,0,1,1,0,0,0,0,0,0,0,23
United States Trade and Development Agency,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Open Market Committee,Agency Overall,2019,0,2,2,0,0,0,0,0,0,0,0,0,0,4
Department of Homeland Security,Agency Overall,2019,42688,43712,22688,21231,37546,5066,3685,4380,1844,2895,1277,608,36384,224004
Federal Mediation and Conciliation Service,Agency Overall,2019,9,3,1,4,2,0,3,3,0,0,5,4,3,37
Defense Nuclear Facilities Safety Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Commerce,Agency Overall,2019,235,119,39,28,20,13,13,8,8,10,35,23,41,592
Inter-American Foundation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison Memorial Fellowship Foundation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidio Trust,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Endowment for the Humanities,Agency Overall,2019,2,4,0,0,0,0,0,0,0,0,0,0,0,6
Consumer Financial Protection Bureau,Agency Overall,2019,17,18,9,9,4,6,3,4,7,1,17,6,0,101
Advisory Council on Historic Preservation,Agency Overall,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Federal Reserve System,Agency Overall,2019,84,75,33,20,9,14,12,4,3,2,4,0,0,260
Securities and Exchange Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,8,1,9
Appraisal Subcommittee,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the United States Trade Representative,Agency Overall,2019,0,3,1,1,4,4,3,1,1,1,2,0,2,23
United States International Boundary and Water Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry S. Truman Scholarship Foundation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Trade Commission,Agency Overall,2019,219,101,31,21,20,12,12,12,4,2,1,1,0,436
National Science Foundation,Agency Overall,2019,54,31,29,7,3,9,10,6,8,2,9,9,12,189
Overseas Private Investment Corporation,Agency Overall,2019,2,0,1,1,3,1,1,2,0,0,1,0,0,12
U.S. Nuclear Waste Technical Review Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2019,0,3,0,0,0,1,0,2,1,4,12,5,2,30
United States African Development Foundation,Agency Overall,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Federal Labor Relations Authority,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equal Employment Opportunity Commission,Agency Overall,2019,383,283,45,51,84,36,91,77,69,22,142,1,0,1284
Office of Personnel Management,Agency Overall,2019,665,1951,201,26,24,31,12,10,11,4,16,6,29,2986
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2019,6,2,0,0,0,0,0,0,0,0,0,0,0,8
Institute of Museum and Library Services,Agency Overall,2019,0,0,2,0,0,0,0,0,2,0,0,1,1,6
United States Institute of Peace,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Indian Gaming Commission,Agency Overall,2019,0,0,2,5,1,0,1,0,0,1,0,1,4,15
Federal Election Commission,Agency Overall,2019,3,5,4,2,0,3,2,2,0,3,5,3,31,63
Commission of Fine Arts,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Railroad Passenger Corporation,Agency Overall,2019,77,22,9,6,7,3,13,7,7,3,5,7,20,186
Office of Science and Technology Policy,Agency Overall,2019,6,2,1,0,0,1,0,0,0,0,0,1,3,14
Denali Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Copyright Office,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2019,0,1,0,0,0,0,0,0,0,0,2,0,0,3
National Transportation Safety Board,Agency Overall,2019,60,50,20,9,23,15,12,11,10,6,39,17,259,531
Selective Service System,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Government Ethics,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export-Import Bank of the U.S.,Agency Overall,2019,2,4,1,3,0,2,0,0,0,1,5,7,13,38
Armed Forces Retirement Home,Agency Overall,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Department of Housing and Urban Development,Agency Overall,2019,120,63,40,20,22,16,13,12,10,12,44,56,88,516
Administrative Conference of the United States,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmeriCorps,Agency Overall,2019,0,3,0,3,0,0,0,0,0,0,0,1,0,7
Federal Deposit Insurance Corporation,Agency Overall,2019,27,26,4,3,1,1,0,0,0,0,0,0,0,62
Central Intelligence Agency,Agency Overall,2019,43,112,128,82,48,45,23,31,39,46,157,93,311,1158
Small Business Administration,Agency Overall,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,2,2,0,1,0,0,0,0,0,0,1,1,6,13
National Labor Relations Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Credit Union Administration,Agency Overall,2019,19,28,15,6,7,6,2,3,3,1,4,1,0,95
Department of Health and Human Services,Agency Overall,2019,10010,1985,971,724,597,530,500,490,609,414,1154,457,1052,19493
Department of Veterans Affairs,Agency Overall,2019,1429,618,341,245,231,195,137,125,96,78,301,194,633,4623
Department of Transportation,Agency Overall,2019,441,439,242,175,102,73,63,58,46,50,264,79,306,2338
National Council on Disability,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Railroad Retirement Board,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millennium Challenge Corporation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Services Corporation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Agency for Global Media,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighborhood Reinvestment Corporation,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Mammal Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Planning Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postal Regulatory Commission,Agency Overall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Labor Relations Authority,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Open Market Committee,Agency Overall,2020,0,0,2,1,1,0,0,0,0,0,0,0,0,4
General Services Administration,Agency Overall,2020,22,216,104,72,45,21,13,10,22,11,33,17,11,597
Department of Agriculture,Agency Overall,2020,795,308,154,83,63,55,35,46,31,22,162,125,311,2190
Pension Benefit Guaranty Corporation,Agency Overall,2020,571,242,113,54,11,10,2,2,1,0,0,0,0,1006
Federal Energy Regulatory Commission,Agency Overall,2020,15,20,4,0,1,1,0,0,1,1,3,5,3,54
Commodity Futures Trading Commission,Agency Overall,2020,24,13,6,5,1,1,0,0,0,0,2,3,1,56
Armed Forces Retirement Home,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidio Trust,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Reserve System,Agency Overall,2020,109,84,47,23,11,9,4,3,1,1,5,0,1,298
Consumer Financial Protection Bureau,Agency Overall,2020,19,10,34,13,14,8,6,8,7,4,40,26,23,212
Tennessee Valley Authority,Agency Overall,2020,11,1,4,6,9,3,1,0,0,0,1,0,0,36
Federal Financial Institutions Examination Council,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Product Safety Commission,Agency Overall,2020,54,31,24,14,15,8,11,12,10,4,30,37,70,320
Nuclear Regulatory Commission,Agency Overall,2020,30,6,2,2,2,4,1,0,2,1,1,3,8,62
Inter-American Foundation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,1,0,1,2
United States International Boundary and Water Commission,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Services Corporation,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Security Commission on Artificial Intelligence,Agency Overall,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Department of Justice,Agency Overall,2020,3868,1534,948,632,461,412,375,340,281,249,885,610,3242,13837
Office of Special Counsel,Agency Overall,2020,9,4,5,8,15,6,2,4,5,5,18,15,13,109
Federal Maritime Commission,Agency Overall,2020,9,4,2,1,1,0,0,0,0,0,0,0,0,17
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Securities and Exchange Commission,Agency Overall,2020,6,0,1,1,1,0,0,1,0,0,0,0,3,13
Department of Transportation,Agency Overall,2020,549,438,205,133,105,76,86,56,43,39,188,206,321,2445
Department of the Interior,Agency Overall,2020,276,171,127,66,73,44,42,44,38,28,109,93,363,1474
United States International Trade Commission,Agency Overall,2020,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Department of Homeland Security,Agency Overall,2020,42183,40289,46092,23026,10972,3851,3678,2974,3051,2153,4325,928,1435,184957
Federal Retirement Thrift Investment Board,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
